8/18/2022 4:19 PM CommandAcquisChA  TX=WRITE_SETUP {"ACQUISITION_MODE":3,"TRIGGER_MODE":2,"READ_MODE":4,"PREAMP":0,"READOUT_RATE":0,"VERTICAL_SHIFT_SPEED":3,"EM_MODE":1,"EM_GAIN":2,"SHUTTER_MODE":2,"SHUTTER_TTL":0,"SHUTTER_OPENING_TIME":1,"SHUTTER_CLOSING_TIME":1,"VBIN":1,"HBIN":1,"INITIAL_LINE":1,"INITIAL_COLUMN":1,"FINAL_LINE":1024,"FINAL_COLUMN":1024,"FRAME_TRANSFER":true,"VERTICAL_CLOCK_VOLTAGE":0,"AD_CHANNEL":0}
8/18/2022 4:19 PM CommandAcquisChB  TX=WRITE_SETUP {"ACQUISITION_MODE":3,"TRIGGER_MODE":1,"READ_MODE":0,"PREAMP":0,"READOUT_RATE":0,"VERTICAL_SHIFT_SPEED":0,"EM_MODE":1,"EM_GAIN":2,"SHUTTER_MODE":2,"SHUTTER_TTL":0,"SHUTTER_OPENING_TIME":1,"SHUTTER_CLOSING_TIME":1,"VBIN":1,"HBIN":1,"INITIAL_LINE":1,"INITIAL_COLUMN":1,"FINAL_LINE":1024,"FINAL_COLUMN":1024,"FRAME_TRANSFER":true,"VERTICAL_CLOCK_VOLTAGE":0,"AD_CHANNEL":0}
8/18/2022 4:19 PM CommandAcquisChC  TX=WRITE_SETUP {"ACQUISITION_MODE":3,"TRIGGER_MODE":1,"READ_MODE":0,"PREAMP":0,"READOUT_RATE":0,"VERTICAL_SHIFT_SPEED":0,"EM_MODE":1,"EM_GAIN":2,"SHUTTER_MODE":2,"SHUTTER_TTL":0,"SHUTTER_OPENING_TIME":1,"SHUTTER_CLOSING_TIME":1,"VBIN":1,"HBIN":1,"INITIAL_LINE":1,"INITIAL_COLUMN":1,"FINAL_LINE":1024,"FINAL_COLUMN":1024,"FRAME_TRANSFER":true,"VERTICAL_CLOCK_VOLTAGE":0,"AD_CHANNEL":0}
8/18/2022 4:19 PM CommandAcquisChD  TX=WRITE_SETUP {"ACQUISITION_MODE":3,"TRIGGER_MODE":1,"READ_MODE":0,"PREAMP":0,"READOUT_RATE":0,"VERTICAL_SHIFT_SPEED":0,"EM_MODE":1,"EM_GAIN":2,"SHUTTER_MODE":2,"SHUTTER_TTL":0,"SHUTTER_OPENING_TIME":1,"SHUTTER_CLOSING_TIME":1,"VBIN":1,"HBIN":1,"INITIAL_LINE":1,"INITIAL_COLUMN":1,"FINAL_LINE":1024,"FINAL_COLUMN":1024,"FRAME_TRANSFER":true,"VERTICAL_CLOCK_VOLTAGE":0,"AD_CHANNEL":0}
8/18/2022 4:19 PM CommandSyncBox  TX=aset on

8/18/2022 4:19 PM ResponseSyncBox  RX=
Ch C  POS  ON     Dly  00.000000000000  Wid  00.500000000000
Ch D  POS  ON     Dly  00.000000000000  Wid  00.100000000000


OK

8/18/2022 4:19 PM CommandSyncBox  TX=bset on

8/18/2022 4:19 PM ResponseSyncBox  RX=OK

8/18/2022 4:19 PM CommandSyncBox  TX=cset on

8/18/2022 4:19 PM ResponseSyncBox  RX=OK

8/18/2022 4:19 PM CommandSyncBox  TX=dset on

8/18/2022 4:19 PM ResponseSyncBox  RX=OK

8/18/2022 4:19 PM CommandSyncBox  TX=IN

8/18/2022 4:19 PM ResponseSyncBox  RX=OK

8/18/2022 4:20 PM CommandAcquisChA  TX=READ_SETUP 
8/18/2022 4:20 PM CommandAcquisChB  TX=READ_SETUP 
8/18/2022 4:20 PM CommandAcquisChC  TX=READ_SETUP 
8/18/2022 4:20 PM CommandAcquisChD  TX=READ_SETUP 
8/18/2022 4:20 PM ResponseAcquisChA  RX=CCD_SETUP {"PREAMP":0,"READOUT_RATE":0,"EM_GAIN":2,"VBIN":1,"INITIAL_LINE":1,"INITIAL_COLUMN":1,"FINAL_LINE":1024,"FINAL_COLUMN":1024,"TRIGGER_MODE":1,"HBIN":1,"SHUTTER_TTL":0,"SHUTTER_MODE":2,"SHUTTER_OPENING_TIME":1,"SHUTTER_CLOSING_TIME":1,"VERTICAL_SHIFT_SPEED":3,"READ_MODE":4,"FRAME_TRANSFER":true,"VERTICAL_CLOCK_VOLTAGE":0,"ACQUISITION_MODE":3,"AD_CHANNEL":0,"EM_MODE":1}
8/18/2022 4:20 PM CommandAcquisChA  TX=SET COOLER_POWER_STATUS 0
8/18/2022 4:20 PM CommandAcquisChB  TX=SET COOLER_POWER_STATUS 0
8/18/2022 4:20 PM CommandAcquisChC  TX=SET COOLER_POWER_STATUS 0
8/18/2022 4:20 PM CommandAcquisChD  TX=SET COOLER_POWER_STATUS 0
8/18/2022 4:20 PM CommandSyncBox  TX=DDELAY 1600m

8/18/2022 4:20 PM ResponseSyncBox  RX=OK

8/18/2022 4:21 PM CommandSyncBox  TX=DDELAY 1600m

8/18/2022 4:21 PM ResponseSyncBox  RX=OK

8/18/2022 4:21 PM CommandSyncBox  TX=DWIDTH 200m

8/18/2022 4:21 PM ResponseSyncBox  RX=OK

8/18/2022 4:21 PM CommandSyncBox  TX=IN

8/18/2022 4:21 PM ResponseSyncBox  RX=OK

8/18/2022 4:21 PM CommandSyncBox  TX=DDELAY 1600m

8/18/2022 4:21 PM ResponseSyncBox  RX=OK

8/18/2022 4:21 PM CommandSyncBox  TX=DWIDTH 200m

8/18/2022 4:21 PM ResponseSyncBox  RX=OK

8/18/2022 4:21 PM CommandSyncBox  TX=IN

8/18/2022 4:21 PM ResponseSyncBox  RX=OK

8/18/2022 4:21 PM CommandSyncBox  TX=TRigger POs

8/18/2022 4:21 PM ResponseSyncBox  RX=OK

8/18/2022 4:21 PM CommandSyncBox  TX=TRigger

8/18/2022 4:21 PM ResponseSyncBox  RX=Trig   POS  HIZ  Level 3.300   Div   0000000000  SYN 00010000.00

