8/19/2022 11:21 AM CommandAcquisChA  TX=WRITE_SETUP {"ACQUISITION_MODE":3,"TRIGGER_MODE":2,"READ_MODE":4,"PREAMP":0,"READOUT_RATE":0,"VERTICAL_SHIFT_SPEED":3,"EM_MODE":1,"EM_GAIN":2,"SHUTTER_MODE":2,"SHUTTER_TTL":0,"SHUTTER_OPENING_TIME":1,"SHUTTER_CLOSING_TIME":1,"VBIN":1,"HBIN":1,"INITIAL_LINE":1,"INITIAL_COLUMN":1,"FINAL_LINE":1024,"FINAL_COLUMN":1024,"FRAME_TRANSFER":true,"VERTICAL_CLOCK_VOLTAGE":0,"AD_CHANNEL":0}
8/19/2022 11:21 AM CommandAcquisChB  TX=WRITE_SETUP {"ACQUISITION_MODE":3,"TRIGGER_MODE":1,"READ_MODE":0,"PREAMP":0,"READOUT_RATE":0,"VERTICAL_SHIFT_SPEED":0,"EM_MODE":1,"EM_GAIN":2,"SHUTTER_MODE":2,"SHUTTER_TTL":0,"SHUTTER_OPENING_TIME":1,"SHUTTER_CLOSING_TIME":1,"VBIN":1,"HBIN":1,"INITIAL_LINE":1,"INITIAL_COLUMN":1,"FINAL_LINE":1024,"FINAL_COLUMN":1024,"FRAME_TRANSFER":true,"VERTICAL_CLOCK_VOLTAGE":0,"AD_CHANNEL":0}
8/19/2022 11:21 AM CommandAcquisChC  TX=WRITE_SETUP {"ACQUISITION_MODE":3,"TRIGGER_MODE":1,"READ_MODE":0,"PREAMP":0,"READOUT_RATE":0,"VERTICAL_SHIFT_SPEED":0,"EM_MODE":1,"EM_GAIN":2,"SHUTTER_MODE":2,"SHUTTER_TTL":0,"SHUTTER_OPENING_TIME":1,"SHUTTER_CLOSING_TIME":1,"VBIN":1,"HBIN":1,"INITIAL_LINE":1,"INITIAL_COLUMN":1,"FINAL_LINE":1024,"FINAL_COLUMN":1024,"FRAME_TRANSFER":true,"VERTICAL_CLOCK_VOLTAGE":0,"AD_CHANNEL":0}
8/19/2022 11:21 AM CommandAcquisChD  TX=WRITE_SETUP {"ACQUISITION_MODE":3,"TRIGGER_MODE":1,"READ_MODE":0,"PREAMP":0,"READOUT_RATE":0,"VERTICAL_SHIFT_SPEED":0,"EM_MODE":1,"EM_GAIN":2,"SHUTTER_MODE":2,"SHUTTER_TTL":0,"SHUTTER_OPENING_TIME":1,"SHUTTER_CLOSING_TIME":1,"VBIN":1,"HBIN":1,"INITIAL_LINE":1,"INITIAL_COLUMN":1,"FINAL_LINE":1024,"FINAL_COLUMN":1024,"FRAME_TRANSFER":true,"VERTICAL_CLOCK_VOLTAGE":0,"AD_CHANNEL":0}
8/19/2022 11:22 AM CommandSyncBox  TX=DDELAY 2500m

8/19/2022 11:22 AM ResponseSyncBox  RX=OK

8/19/2022 11:22 AM CommandSyncBox  TX=DWIDTH 200m

8/19/2022 11:22 AM ResponseSyncBox  RX=OK

8/19/2022 11:22 AM CommandSyncBox  TX=IN

8/19/2022 11:22 AM ResponseSyncBox  RX=OK

8/19/2022 11:22 AM CommandAcquisChA  TX=READ_SETUP 
8/19/2022 11:22 AM CommandAcquisChB  TX=READ_SETUP 
8/19/2022 11:22 AM CommandAcquisChC  TX=READ_SETUP 
8/19/2022 11:22 AM CommandAcquisChD  TX=READ_SETUP 
8/19/2022 11:22 AM CommandAcquisChA  TX=SET COOLER_POWER_STATUS 0
8/19/2022 11:22 AM CommandAcquisChB  TX=SET COOLER_POWER_STATUS 0
8/19/2022 11:22 AM CommandAcquisChC  TX=SET COOLER_POWER_STATUS 0
8/19/2022 11:22 AM CommandAcquisChD  TX=SET COOLER_POWER_STATUS 0
